num;question;a;b;c;d;solution;area_code;area;theme;image;Tags
295;Welche Religion hat die europ\xe4ische und deutsche Kultur gepr\xe4gt?;der Hinduismus;das Christentum;der Buddhismus;der Islam;b;gesellschaft;Mensch und Gesellschaft;Religiöse Vielfalt;-;
296;In Deutschland nennt man die letzten vier Wochen vor Weihnachten ...;den Bu\xdf- und Bettag.;das Erntedankfest.;die Adventszeit.;Allerheiligen.;c;gesellschaft;Mensch und Gesellschaft;Religiöse Vielfalt;-;
297;Aus welchem Land sind die meisten Migranten / Migrantinnen nach Deutschland gekommen?;Italien;Polen;Marokko;T\xfcrkei;d;gesellschaft;Mensch und Gesellschaft;Migrationsgeschichte;-;
298;In der DDR lebten vor allem Migranten aus ...;Vietnam, Polen, Mosambik.;Frankreich, Rum\xe4nien, Somalia.;Chile, Ungarn, Simbabwe.;Nordkorea, Mexiko, \xc4gypten.;a;gesellschaft;Mensch und Gesellschaft;Migrationsgeschichte;-;
299;Ausl\xe4ndische Arbeitnehmer und Arbeitnehmerinnen, die in den 50er und 60er Jahren von der Bundesrepublik Deutschland angeworben wurden, nannte man ...;Schwarzarbeiter / Schwarzarbeiterinnen.;Gastarbeiter / Gastarbeiterinnen.;Zeitarbeiter / Zeitarbeiterinnen.;Schichtarbeiter / Schichtarbeiterinnen.;b;gesellschaft;Mensch und Gesellschaft;Migrationsgeschichte;-;
300;Aus welchem Land kamen die ersten Gastarbeiter / Gastarbeiterinnen in die Bundesrepublik Deutschland?;Italien;Spanien;Portugal;T\xfcrkei;a;gesellschaft;Mensch und Gesellschaft;Migrationsgeschichte;-;
BB-1;Welches Wappen geh\xf6rt zum Bundesland Brandenburg?;1;2;3;4;a;land;Bundesland;Brandenburg;frage_bb_1;image
BB-2;Welches ist ein Landkreis in Brandenburg?;Prignitz;Rhein-Sieg-Kreis;Vogtlandkreis;Amberg-Sulzbach;a;land;Bundesland;Brandenburg;-;
BB-3;F\xfcr wie viele Jahre wird der Landtag in Brandenburg gew\xe4hlt?;3;4;5;6;c;land;Bundesland;Brandenburg;-;
BB-4;Ab welchem Alter darf man in Brandenburg bei Kommunalwahlen w\xe4hlen?;14;18;16;20;c;land;Bundesland;Brandenburg;-;
BB-5;Welche Farben hat die Landesflagge von Brandenburg?;blau-wei\xdf-rot;rot-wei\xdf;gr\xfcn-wei\xdf-rot;schwarz-gelb;b;land;Bundesland;Brandenburg;-;
BB-6;Wo k\xf6nnen Sie sich in Brandenburg \xfcber politische Themen informieren?;bei den Kirchen;beim Ordnungsamt der Gemeinde;bei der Landeszentrale f\xfcr politische Bildung;bei der Verbraucherzentrale;c;land;Bundesland;Brandenburg;-;
BB-7;Die Landeshauptstadt von Brandenburg hei\xdft ...;Potsdam.;Cottbus.;Brandenburg.;Frankfurt/Oder.;a;land;Bundesland;Brandenburg;-;
BB-8;Welches Bundesland ist Brandenburg?;1;2;3;4;d;land;Bundesland;Brandenburg;frage_bb_8;image
BB-9;Wie nennt man den Regierungschef / die Regierungschefin in Brandenburg?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\xfcrgermeister / B\xfcrgermeisterin;Ministerpr\xe4sident / Ministerpr\xe4sidentin;d;land;Bundesland;Brandenburg;-;
BB-10;Welchen Minister / welche Ministerin hat Brandenburg nicht?;Justizminister / Justizministerin;Au\xdfenminister / Au\xdfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Brandenburg;-;
BE-1;Welches Wappen geh\xf6rt zum Bundesland Berlin?;1;2;3;4;d;land;Bundesland;Berlin;frage_be_1;image
BE-2;Welches ist ein Bezirk von Berlin?;Altona;Prignitz;Pankow;Mecklenburgische Seenplatte;c;land;Bundesland;Berlin;-;
BE-3;F\xfcr wie viele Jahre wird das Landesparlament in Berlin gew\xe4hlt?;3;4;5;6;c;land;Bundesland;Berlin;-;
BE-4;Ab welchem Alter darf man in Berlin bei Kommunalwahlen (Wahl der Bezirksverordnetenversammlung) w\xe4hlen?;14;16;18;20;b;land;Bundesland;Berlin;-;
BE-5;Welche Farben hat die Landesflagge von Berlin?;blau-wei\xdf-rot;wei\xdf-rot;gr\xfcn-wei\xdf-rot;schwarz-gold;b;land;Bundesland;Berlin;-;
BE-6;Wo k\xf6nnen Sie sich in Berlin \xfcber politische Themen informieren?;beim Ordnungsamt der Gemeinde;bei den Kirchen;bei der Verbraucherzentrale;bei der Landeszentrale f\xfcr politische Bildung;d;land;Bundesland;Berlin;-;
BE-7;Welches Bundesland ist ein Stadtstaat?;Berlin;Saarland;Brandenburg;Hessen;a;land;Bundesland;Berlin;-;
BE-8;Welches Bundesland ist Berlin?;1;2;3;4;d;land;Bundesland;Berlin;frage_be_8;image
BE-9;Wie nennt man den Regierungschef / die Regierungschefin des Stadtstaates Berlin?;Ministerpr\xe4sident / Ministerpr\xe4sidentin;Oberb\xfcrgermeister / Oberb\xfcrgermeisterin;Pr\xe4sident / Pr\xe4sidentin des Senats;Regierender B\xfcrgermeister / Regierende B\xfcrgermeisterin;d;land;Bundesland;Berlin;-;
BE-10;Welchen Senator / welche Senatorin hat Berlin nicht?;Finanzsenator / Finanzsenatorin;Innensenator / Innensenatorin;Senator / Senatorin f\xfcr Au\xdfenbeziehungen;Justizsenator / Justizsenatorin;c;land;Bundesland;Berlin;-;
BW-1;Welches Wappen geh\xf6rt zum Bundesland Baden-W\xfcrttemberg?;1;2;3;4;a;land;Bundesland;Baden-Württemberg;frage_bw_1;image
BW-2;Welches ist ein Landkreis in Baden-W\xfcrttemberg?;Mecklenburgische Seenplatte;Neckar-Odenwald-Kreis;Nordfriesland;Alt\xf6tting;b;land;Bundesland;Baden-Württemberg;-;
BW-3;F\xfcr wie viele Jahre wird der Landtag in Baden-W\xfcrttemberg gew\xe4hlt?;3;4;5;6;c;land;Bundesland;Baden-Württemberg;-;
BW-4;Ab welchem Alter darf man in Baden-W\xfcrttemberg bei Kommunalwahlen w\xe4hlen?;14;16;18;20;b;land;Bundesland;Baden-Württemberg;-;
BW-5;Welche Farben hat die Landesflagge von Baden-W\xfcrttemberg?;blau-wei\xdf-rot;schwarz-gold;wei\xdf-blau;gr\xfcn-wei\xdf-rot;b;land;Bundesland;Baden-Württemberg;-;
BW-6;Wo k\xf6nnen Sie sich in Baden-W\xfcrttemberg \xfcber politische Themen informieren?;beim Ordnungsamt der Gemeinde;bei der Verbraucherzentrale;bei der Landeszentrale f\xfcr politische Bildung;bei den Kirchen;c;land;Bundesland;Baden-Württemberg;-;
BW-7;Die Landeshauptstadt von Baden-W\xfcrttemberg hei\xdft ...;Heidelberg.;Stuttgart.;Karlsruhe.;Mannheim.;b;land;Bundesland;Baden-Württemberg;-;
BW-8;Welches Bundesland ist Baden-W\xfcrttemberg?;1;2;3;4;b;land;Bundesland;Baden-Württemberg;frage_bw_8;image
BW-9;Wie nennt man den Regierungschef / die Regierungschefin in Baden-W\xfcrttemberg?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\xfcrgermeister / B\xfcrgermeisterin;Ministerpr\xe4sident / Ministerpr\xe4sidentin;d;land;Bundesland;Baden-Württemberg;-;
BW-10;Welchen Minister / welche Ministerin hat Baden-W\xfcrttemberg nicht?;Finanzminister / Finanzministerin;Justizminister / Justizministerin;Innenminister / Innenministerin;Au\xdfenminister / Au\xdfenministerin;d;land;Bundesland;Baden-Württemberg;-;
BY-1;Welches Wappen geh\xf6rt zum Freistaat Bayern?;1;2;3;4;b;land;Bundesland;Bayern;frage_by_1;image
BY-2;Welches ist ein Landkreis in Bayern?;Prignitz;Rhein-Sieg-Kreis;Nordfriesland;Alt\xf6tting;d;land;Bundesland;Bayern;-;
BY-3;F\xfcr wie viele Jahre wird der Landtag in Bayern gew\xe4hlt?;3;4;5;6;c;land;Bundesland;Bayern;-;
BY-4;Ab welchem Alter darf man in Bayern bei Kommunalwahlen w\xe4hlen?;14;16;18;20;c;land;Bundesland;Bayern;-;
BY-5;Welche Farben hat die Landesflagge von Bayern?;blau-wei\xdf-rot;wei\xdf-blau;gr\xfcn-wei\xdf-rot;schwarz-gelb;b;land;Bundesland;Bayern;-;
BY-6;Wo k\xf6nnen Sie sich in Bayern \xfcber politische Themen informieren?;beim Ordnungsamt der Gemeinde;bei der Landeszentrale f\xfcr politische Bildung;bei der Verbraucherzentrale;bei den Kirchen;b;land;Bundesland;Bayern;-;
BY-7;Die Landeshauptstadt von Bayern hei\xdft ...;Ingolstadt.;Regensburg.;N\xfcrnberg.;M\xfcnchen.;d;land;Bundesland;Bayern;-;
BY-8;Welches Bundesland ist Bayern?;1;2;3;4;d;land;Bundesland;Bayern;frage_by_8;image
BY-9;Wie nennt man den Regierungschef / die Regierungschefin in Bayern?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\xfcrgermeister / B\xfcrgermeisterin;Ministerpr\xe4sident / Ministerpr\xe4sidentin;d;land;Bundesland;Bayern;-;
BY-10;Welchen Minister / welche Ministerin hat Bayern nicht?;Justizminister / Justizministerin;Au\xdfenminister / Au\xdfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Bayern;-;
HB-1;Welches Wappen geh\xf6rt zur Freien Hansestadt Bremen?;1;2;3;4;c;land;Bundesland;Bremen;frage_hb_1;image
HB-2;Welches ist ein Stadtteil von Bremen?;Altona;Hemelingen;Pankow;Babelsberg;b;land;Bundesland;Bremen;-;
HB-3;F\xfcr wie viele Jahre wird das Landesparlament in Bremen gew\xe4hlt?;3;4;5;6;b;land;Bundesland;Bremen;-;
HB-4;Ab welchem Alter darf man in Bremen bei den Wahlen zur B\xfcrgerschaft (Landtag) w\xe4hlen?;14;16;18;20;b;land;Bundesland;Bremen;-;
HB-5;Welche Farben hat die Landesflagge von Bremen?;blau-wei\xdf-rot;rot-wei\xdf;gr\xfcn-wei\xdf-rot;schwarz-gold;b;land;Bundesland;Bremen;-;
HB-6;Wo k\xf6nnen Sie sich in Bremen \xfcber politische Themen informieren?;beim Ordnungsamt der Gemeinde;bei der Landeszentrale f\xfcr politische Bildung;bei den Kirchen;bei der Verbraucherzentrale;b;land;Bundesland;Bremen;-;
HB-7;Was ist ein deutscher Stadtstaat?;Bremen;M\xfcnchen;Frankfurt;Erfurt;a;land;Bundesland;Bremen;-;
HB-8;Welches Bundesland ist Bremen?;1;2;3;4;a;land;Bundesland;Bremen;frage_hb_8;image
HB-9;Wie nennt man den Regierungschef / die Regierungschefin des Stadtstaates Bremen?;Ministerpr\xe4sident / Ministerpr\xe4sidentin;Erster B\xfcrgermeister / Erste B\xfcrgermeisterin;Pr\xe4sident / Pr\xe4sidentin des Senats;Regierender B\xfcrgermeister / Regierende B\xfcrgermeisterin;c;land;Bundesland;Bremen;-;
HB-10;Welchen Senator / welche Senatorin hat Bremen nicht?;Senator / Senatorin f\xfcr Au\xdfenbeziehungen;Finanzsenator / Finanzsenatorin;Justizsenator / Justizsenatorin;Innensenator / Innensenatorin;a;land;Bundesland;Bremen;-;
HE-1;Welches Wappen geh\xf6rt zum Bundesland Hessen?;1;2;3;4;a;land;Bundesland;Hessen;frage_he_1;image
HE-2;Welches ist ein Landkreis in Hessen?;Ammerland;Alt\xf6tting;Prignitz;Main-Taunus-Kreis;d;land;Bundesland;Hessen;-;
HE-3;F\xfcr wie viele Jahre wird der Landtag in Hessen gew\xe4hlt?;3;4;5;6;c;land;Bundesland;Hessen;-;
HE-4;Ab welchem Alter darf man in Hessen bei Kommunalwahlen w\xe4hlen?;14;16;18;20;c;land;Bundesland;Hessen;-;
HE-5;Welche Farben hat die Landesflagge von Hessen?;blau-wei\xdf-rot;rot-wei\xdf;schwarz-gold;gr\xfcn-wei\xdf-rot;b;land;Bundesland;Hessen;-;
HE-6;Wo k\xf6nnen Sie sich in Hessen \xfcber politische Themen informieren?;bei der Landeszentrale f\xfcr politische Bildung;bei der Verbraucherzentrale;beim Ordnungsamt der Gemeinde;bei den Kirchen;a;land;Bundesland;Hessen;-;
HE-7;Die Landeshauptstadt von Hessen hei\xdft ...;Kassel.;Darmstadt.;Frankfurt.;Wiesbaden.;d;land;Bundesland;Hessen;-;
HE-8;Welches Bundesland ist Hessen?;1;2;3;4;c;land;Bundesland;Hessen;frage_he_8;image
HE-9;Wie nennt man den Regierungschef / die Regierungschefin in Hessen?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\xfcrgermeister / B\xfcrgermeisterin;Ministerpr\xe4sident / Ministerpr\xe4sidentin;d;land;Bundesland;Hessen;-;
HE-10;Welchen Minister / welche Ministerin hat Hessen nicht?;Justizminister / Justizministerin;Au\xdfenminister / Au\xdfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Hessen;-;
HH-1;Welches Wappen geh\xf6rt zur Freien und Hansestadt Hamburg?;1;2;3;4;b;land;Bundesland;Hamburg;frage_hh_1;image
HH-2;Welches ist ein Bezirk von Hamburg?;Altona;Hemelingen;Pankow;Mecklenburgische Seenplatte;a;land;Bundesland;Hamburg;-;
HH-3;F\xfcr wie viele Jahre wird das Landesparlament in Hamburg gew\xe4hlt?;3;4;5;6;c;land;Bundesland;Hamburg;-;
HH-4;Ab welchem Alter darf man in Hamburg bei Kommunalwahlen (Wahl der Bezirksversammlungen) w\xe4hlen?;14;16;18;20;b;land;Bundesland;Hamburg;-;
HH-5;Welche Farben hat die Landesflagge von Hamburg?;blau-wei\xdf-rot;wei\xdf-rot;gr\xfcn-wei\xdf-rot;schwarz-gelb;b;land;Bundesland;Hamburg;-;
HH-6;Wo k\xf6nnen Sie sich in Hamburg \xfcber politische Themen informieren?;beim Ordnungsamt der Gemeinde;bei der Verbraucherzentrale;bei den Kirchen;bei der Landeszentrale f\xfcr politische Bildung;d;land;Bundesland;Hamburg;-;
HH-7;Welches Bundesland ist ein Stadtstaat?;Hamburg;Sachsen;Bayern;Th\xfcringen;a;land;Bundesland;Hamburg;-;
HH-8;Welches Bundesland ist Hamburg?;1;2;3;4;c;land;Bundesland;Hamburg;frage_hh_8;image
HH-9;Wie nennt man den Regierungschef / die Regierungschefin des Stadtstaates Hamburg?;Ministerpr\xe4sident / Ministerpr\xe4sidentin;Erster B\xfcrgermeister / Erste B\xfcrgermeisterin;Regierender Senator / Regierende Senatorin;Oberb\xfcrgermeister / Oberb\xfcrgermeisterin;b;land;Bundesland;Hamburg;-;
HH-10;Welchen Senator / welche Senatorin hat Hamburg nicht?;Justizsenator / Justizsenatorin;Senator / Senatorin f\xfcr Au\xdfenbeziehungen;Finanzsenator / Finanzsenatorin;Innensenator / Innensenatorin;b;land;Bundesland;Hamburg;-;
MV-1;Welches Wappen geh\xf6rt zum Bundesland Mecklenburg-Vorpommern?;1;2;3;4;c;land;Bundesland;Mecklenburg-Vorpommern;frage_mv_1;image
MV-2;Welches ist ein Landkreis in Mecklenburg-Vorpommern?;Prignitz;Mecklenburgische Seenplatte;Vogtlandkreis;Rhein-Sieg-Kreis;b;land;Bundesland;Mecklenburg-Vorpommern;-;
MV-3;F\xfcr wie viele Jahre wird der Landtag in Mecklenburg-Vorpommern gew\xe4hlt?;3;4;5;6;c;land;Bundesland;Mecklenburg-Vorpommern;-;
MV-4;Ab welchem Alter darf man in Mecklenburg-Vorpommern bei Kommunalwahlen w\xe4hlen?;14;16;18;20;b;land;Bundesland;Mecklenburg-Vorpommern;-;
MV-5;Welche Farben hat die Landesflagge von Mecklenburg-Vorpommern?;schwarz-rot-gold;blau-wei\xdf-gelb-rot;gr\xfcn-wei\xdf-rot;schwarz-gelb;b;land;Bundesland;Mecklenburg-Vorpommern;-;
MV-6;Wo k\xf6nnen Sie sich in Mecklenburg-Vorpommern \xfcber politische Themen informieren?;bei der Landeszentrale f\xfcr politische Bildung;bei den Kirchen;beim Ordnungsamt der Gemeinde;bei der Verbraucherzentrale;a;land;Bundesland;Mecklenburg-Vorpommern;-;
MV-7;Die Landeshauptstadt von Mecklenburg-Vorpommern hei\xdft ...;Greifswald.;Schwerin.;Rostock.;Wismar.;b;land;Bundesland;Mecklenburg-Vorpommern;-;
MV-8;Welches Bundesland ist Mecklenburg-Vorpommern?;1;2;3;4;c;land;Bundesland;Mecklenburg-Vorpommern;frage_mv_8;image
MV-9;Wie nennt man den Regierungschef / die Regierungschefin in Mecklenburg-Vorpommern?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\xfcrgermeister / B\xfcrgermeisterin;Ministerpr\xe4sident / Ministerpr\xe4sidentin;d;land;Bundesland;Mecklenburg-Vorpommern;-;
MV-10;Welchen Minister / welche Ministerin hat Mecklenburg-Vorpommern nicht?;Justizminister / Justizministerin;Au\xdfenminister / Au\xdfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Mecklenburg-Vorpommern;-;
NI-1;Welches Wappen geh\xf6rt zum Bundesland Niedersachsen?;1;2;3;4;c;land;Bundesland;Niedersachsen;frage_ni_1;image
NI-2;Welches ist ein Landkreis in Niedersachsen?;Ammerland;Rhein-Sieg-Kreis;Nordfriesland;Vogtlandkreis;a;land;Bundesland;Niedersachsen;-;
NI-3;F\xfcr wie viele Jahre wird der Landtag in Niedersachsen gew\xe4hlt?;3;4;5;6;c;land;Bundesland;Niedersachsen;-;
NI-4;Ab welchem Alter darf man in Niedersachsen bei Kommunalwahlen w\xe4hlen?;14;16;18;20;b;land;Bundesland;Niedersachsen;-;
NI-5;Welche Farben hat die Landesflagge von Niedersachsen?;wei\xdf-blau;schwarz-rot-gold;schwarz-gelb;blau-wei\xdf-rot;b;land;Bundesland;Niedersachsen;-;
NI-6;Wo k\xf6nnen Sie sich in Niedersachsen \xfcber politische Themen informieren?;bei der Landeszentrale f\xfcr politische Bildung;beim Ordnungsamt der Gemeinde;bei der Verbraucherzentrale;bei den Kirchen;a;land;Bundesland;Niedersachsen;-;
NI-7;Die Landeshauptstadt von Niedersachsen hei\xdft ...;Hannover.;Braunschweig.;Wolfsburg.;Osnabr\xfcck.;a;land;Bundesland;Niedersachsen;-;
NI-8;Welches Bundesland ist Niedersachsen?;1;2;3;4;a;land;Bundesland;Niedersachsen;frage_ni_8;image
NI-9;Wie nennt man den Regierungschef / die Regierungschefin in Niedersachsen?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\xfcrgermeister / B\xfcrgermeisterin;Ministerpr\xe4sident / Ministerpr\xe4sidentin;d;land;Bundesland;Niedersachsen;-;
NI-10;Welchen Minister / welche Ministerin hat Niedersachsen nicht?;Justizminister / Justizministerin;Au\xdfenminister / Au\xdfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Niedersachsen;-;
NW-1;Welches Wappen geh\xf6rt zum Bundesland Nordrhein-Westfalen?;1;2;3;4;b;land;Bundesland;Nordrhein-Westfalen;frage_nw_1;image
NW-2;Welches ist ein Landkreis in Nordrhein-Westfalen?;Ammerland;Rhein-Sieg-Kreis;Nordfriesland;Vogtlandkreis;b;land;Bundesland;Nordrhein-Westfalen;-;
NW-3;F\xfcr wie viele Jahre wird der Landtag in Nordrhein-Westfalen gew\xe4hlt?;3;4;5;6;c;land;Bundesland;Nordrhein-Westfalen;-;
NW-4;Ab welchem Alter darf man in Nordrhein-Westfalen bei Kommunalwahlen w\xe4hlen?;14;16;18;20;b;land;Bundesland;Nordrhein-Westfalen;-;
NW-5;Welche Farben hat die Landesflagge von Nordrhein-Westfalen?;rot-wei\xdf;gr\xfcn-wei\xdf-rot;schwarz-gold;blau-wei\xdf-rot;b;land;Bundesland;Nordrhein-Westfalen;-;
NW-6;Wo k\xf6nnen Sie sich in Nordrhein-Westfalen \xfcber politische Themen informieren?;bei den Kirchen;beim Ordnungsamt der Gemeinde;bei der Verbraucherzentrale;bei der Landeszentrale f\xfcr politische Bildung;d;land;Bundesland;Nordrhein-Westfalen;-;
NW-7;Die Landeshauptstadt von Nordrhein-Westfalen hei\xdft ...;K\xf6ln.;Bonn.;D\xfcsseldorf.;Dortmund.;c;land;Bundesland;Nordrhein-Westfalen;-;
NW-8;Welches Bundesland ist Nordrhein-Westfalen?;1;2;3;4;c;land;Bundesland;Nordrhein-Westfalen;frage_nw_8;image
NW-9;Wie nennt man den Regierungschef / die Regierungschefin in Nordrhein-Westfalen?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\xfcrgermeister / B\xfcrgermeisterin;Ministerpr\xe4sident / Ministerpr\xe4sidentin;d;land;Bundesland;Nordrhein-Westfalen;-;
NW-10;Welchen Minister / welche Ministerin hat Nordrhein-Westfalen nicht?;Justizminister / Justizministerin;Au\xdfenminister / Au\xdfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Nordrhein-Westfalen;-;
RP-1;Welches Wappen geh\xf6rt zum Bundesland Rheinland-Pfalz?;1;2;3;4;a;land;Bundesland;Rheinland-Pfalz;frage_rp_1;image
RP-2;Welches ist ein Landkreis in Rheinland-Pfalz?;Westerwaldkreis;Alt\xf6tting;Emsland;Prignitz;a;land;Bundesland;Rheinland-Pfalz;-;
RP-3;F\xfcr wie viele Jahre wird der Landtag in Rheinland-Pfalz gew\xe4hlt?;3;4;5;6;c;land;Bundesland;Rheinland-Pfalz;-;
RP-4;Ab welchem Alter darf man in Rheinland-Pfalz bei Kommunalwahlen w\xe4hlen?;14;16;18;20;c;land;Bundesland;Rheinland-Pfalz;-;
RP-5;Welche Farben hat die Landesflagge von Rheinland-Pfalz?;wei\xdf-rot;schwarz-rot-gold;schwarz-gelb;gr\xfcn-wei\xdf-rot;b;land;Bundesland;Rheinland-Pfalz;-;
RP-6;Wo k\xf6nnen Sie sich in Rheinland-Pfalz \xfcber politische Themen informieren?;bei den Kirchen;bei der Verbraucherzentrale;beim Ordnungsamt der Gemeinde;bei der Landeszentrale f\xfcr politische Bildung;d;land;Bundesland;Rheinland-Pfalz;-;
RP-7;Die Landeshauptstadt von Rheinland-Pfalz hei\xdft ...;Mainz.;Kaiserslautern.;Ludwigshafen.;Koblenz.;a;land;Bundesland;Rheinland-Pfalz;-;
RP-8;Welches Bundesland ist Rheinland-Pfalz?;1;2;3;4;a;land;Bundesland;Rheinland-Pfalz;frage_rp_8;image
RP-9;Wie nennt man den Regierungschef / die Regierungschefin in Rheinland-Pfalz?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\xfcrgermeister / B\xfcrgermeisterin;Ministerpr\xe4sident / Ministerpr\xe4sidentin;d;land;Bundesland;Rheinland-Pfalz;-;
RP-10;Welchen Minister / welche Ministerin hat Rheinland-Pfalz nicht?;Justizminister / Justizministerin;Au\xdfenminister / Au\xdfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Rheinland-Pfalz;-;
SH-1;Welches Wappen geh\xf6rt zum Bundesland Schleswig-Holstein?;1;2;3;4;c;land;Bundesland;Schleswig-Holstein;frage_sh_1;image
SH-2;Welches ist ein Landkreis in Schleswig-Holstein?;Ammerland;Mecklenburgische Seenplatte;Nordfriesland;Rhein-Sieg-Kreis;c;land;Bundesland;Schleswig-Holstein;-;
SH-3;F\xfcr wie viele Jahre wird der Landtag in Schleswig-Holstein gew\xe4hlt?;3;4;5;6;c;land;Bundesland;Schleswig-Holstein;-;
SH-4;Ab welchem Alter darf man in Schleswig-Holstein bei Kommunalwahlen w\xe4hlen?;14;16;18;20;b;land;Bundesland;Schleswig-Holstein;-;
SH-5;Welche Farben hat die Landesflagge von Schleswig-Holstein?;wei\xdf-blau;blau-wei\xdf-rot;wei\xdf-rot;gr\xfcn-wei\xdf-rot;b;land;Bundesland;Schleswig-Holstein;-;
SH-6;Wo k\xf6nnen Sie sich in Schleswig-Holstein \xfcber politische Themen informieren?;bei der Verbraucherzentrale;beim Ordnungsamt der Gemeinde;bei dem/der Landesbeauftragten f\xfcr politische Bildung;bei den Kirchen;c;land;Bundesland;Schleswig-Holstein;-;
SH-7;Die Landeshauptstadt von Schleswig-Holstein hei\xdft ...;Husum.;Flensburg.;L\xfcbeck.;Kiel.;d;land;Bundesland;Schleswig-Holstein;-;
SH-8;Welches Bundesland ist Schleswig-Holstein?;1;2;3;4;a;land;Bundesland;Schleswig-Holstein;frage_sh_8;image
SH-9;Wie nennt man den Regierungschef / die Regierungschefin in Schleswig-Holstein?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\xfcrgermeister / B\xfcrgermeisterin;Ministerpr\xe4sident / Ministerpr\xe4sidentin;d;land;Bundesland;Schleswig-Holstein;-;
SH-10;Welchen Minister / welche Ministerin hat Schleswig-Holstein nicht?;Justizminister / Justizministerin;Au\xdfenminister / Au\xdfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Schleswig-Holstein;-;
SL-1;Welches Wappen geh\xf6rt zum Bundesland Saarland?;1;2;3;4;d;land;Bundesland;Saarland;frage_sl_1;image
SL-2;Welches ist ein Landkreis im Saarland?;Mecklenburgische Seenplatte;Alt\xf6tting;Neunkirchen;Rhein-Sieg-Kreis;c;land;Bundesland;Saarland;-;
SL-3;F\xfcr wie viele Jahre wird der Landtag des Saarlandes gew\xe4hlt?;3;4;5;6;c;land;Bundesland;Saarland;-;
SL-4;Ab welchem Alter darf man im Saarland bei Kommunalwahlen w\xe4hlen?;14;16;18;20;c;land;Bundesland;Saarland;-;
SL-5;Welche Farben hat die Landesflagge des Saarlandes?;wei\xdf-blau;schwarz-rot-gold;schwarz-gelb;gr\xfcn-wei\xdf-rot;b;land;Bundesland;Saarland;-;
SL-6;Wo k\xf6nnen Sie sich im Saarland \xfcber politische Themen informieren?;bei den Kirchen;bei der Landeszentrale f\xfcr politische Bildung;bei der Verbraucherzentrale;beim Ordnungsamt der Gemeinde;b;land;Bundesland;Saarland;-;
SL-7;Die Landeshauptstadt des Saarlandes hei\xdft ...;Neunkirchen.;Homburg.;Saarbr\xfccken.;V\xf6lklingen.;c;land;Bundesland;Saarland;-;
SL-8;Welches Bundesland ist das Saarland?;1;2;3;4;b;land;Bundesland;Saarland;frage_sl_8;image
SL-9;Wie nennt man den Regierungschef / die Regierungschefin des Saarlandes?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\xfcrgermeister / B\xfcrgermeisterin;Ministerpr\xe4sident / Ministerpr\xe4sidentin;d;land;Bundesland;Saarland;-;
SL-10;Welchen Minister / welche Ministerin hat das Saarland nicht?;Justizminister / Justizministerin;Au\xdfenminister / Au\xdfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Saarland;-;
SN-1;Welches Wappen geh\xf6rt zum Freistaat Sachsen?;1;2;3;4;d;land;Bundesland;Sachsen;frage_sn_1;image
SN-2;Welches ist ein Landkreis in Sachsen?;Vogtlandkreis;Alt\xf6tting;Uckermark;Nordfriesland;a;land;Bundesland;Sachsen;-;
SN-3;F\xfcr wie viele Jahre wird der Landtag in Sachsen gew\xe4hlt?;3;4;5;6;c;land;Bundesland;Sachsen;-;
SN-4;Ab welchem Alter darf man in Sachsen bei Kommunalwahlen w\xe4hlen?;14;16;18;20;c;land;Bundesland;Sachsen;-;
SN-5;Welche Farben hat die Landesflagge von Sachsen?;blau-wei\xdf-rot;wei\xdf-gr\xfcn;gr\xfcn-wei\xdf-rot;schwarz-gelb;b;land;Bundesland;Sachsen;-;
SN-6;Wo k\xf6nnen Sie sich in Sachsen \xfcber politische Themen informieren?;bei der Landeszentrale f\xfcr politische Bildung;beim Ordnungsamt der Gemeinde;bei den Kirchen;bei der Verbraucherzentrale;a;land;Bundesland;Sachsen;-;
SN-7;Die Landeshauptstadt von Sachsen hei\xdft ...;Leipzig.;Dresden.;Chemnitz.;Zwickau.;b;land;Bundesland;Sachsen;-;
SN-8;Welches Bundesland ist Sachsen?;1;2;3;4;d;land;Bundesland;Sachsen;frage_sn_8;image
